displacement_mm,force_kN
-3.3147,-126.2009435
-3.3274,-124.7960583
-3.2639,-120.6466209
-3.1877,-116.7031027
-3.0353,-108.5167629
-2.794,-98.70696108
-2.54,-89.18227514
-2.286,-79.56489884
-2.0701,-70.77357896
-1.8161,-61.15419685
-1.5621,-52.83752751
-1.3081,-43.96325153
-1.0795,-35.07593547
-0.8128,-27.41677653
-0.5969,-18.43375961
-0.381,-11.11760299
-0.1651,-3.89494598
-0.0127,2.337049662
0.1778,9.852931014
0.4064,17.06837267
0.635,25.48847662
0.889,34.63926302
1.1176,43.34209589
1.2573,46.61132549
1.4986,56.32591079
1.778,64.53614701
2.0193,72.95324979
2.2733,83.21987213
2.54,91.52771318
2.794,100.7727225
3.0099,107.4402544
3.0226,106.0347777
3.0226,106.5015028
2.8575,95.91327285
2.6035,86.29444223
2.3622,75.74745393
2.1209,66.30844907
1.8669,56.78581787
1.6129,46.9862364
1.3462,38.11716221
1.1049,28.77433499
0.8763,20.07171382
0.635,11.75030834
0.3937,4.172692844
0.2159,-2.512973905
0.0762,-8.289547148
-0.1397,-15.9746875
-0.1778,-18.27631722
-0.6223,-34.66222013
-0.8636,-41.40914567
-1.0922,-50.57335863
-1.3462,-58.7034509
-1.5875,-66.93305597
-1.8415,-75.15497577
-2.1209,-84.29572683
-2.3495,-92.43984651
-2.6289,-101.5788719
-2.8829,-108.7873533
-3.0861,-116.2883333
-3.302,-123.4150473
-3.3274,-123.3130928
-3.3274,-122.0137468
-3.3274,-123.0312236
-3.1496,-113.0063185
-2.8829,-102.3785858
-2.7051,-92.25177508
-2.4892,-85.86819383
-2.2479,-75.96691582
-1.9939,-65.9791117
-1.7272,-58.69701092
-1.4859,-50.64950428
-1.2319,-42.70614786
-0.9906,-33.72890024
-0.762,-24.56607758
-0.5207,-16.33749453
-0.3175,-9.108726392
-0.127,-3.078593968
0.0381,3.889673469
0.2413,10.5625879
0.4826,19.3512295
0.508,19.70676087
0.6096,22.99847036
0.8763,32.41863561
1.1049,41.3988377
1.3716,49.70600718
1.4605,58.38573929
1.8669,67.55882812
2.1209,75.41016887
2.3876,85.66979975
2.667,93.78429463
2.8956,103.5039768
2.9845,102.4395344
2.9845,102.435029
2.9591,102.9159506
2.8321,96.01696187
2.5908,85.00625498
2.3622,73.42525852
2.0955,64.3767575
1.8415,55.40826257
1.6002,45.78571828
1.3462,38.21090172
1.0922,27.66777341
0.8255,19.82246569
0.6096,11.95095775
0.3937,4.634985697
0.2159,-2.976030526
0.0381,-8.269791353
-0.1397,-16.90375779
-0.2159,-18.16312746
-0.6223,-33.55050123
-0.8763,-41.77172811
-1.1176,-49.81624736
-1.3589,-58.41547972
-1.6129,-67.57109432
-1.8923,-74.29487819
-2.159,-83.16281071
-2.413,-91.94061019
-2.667,-100.6293262
-2.921,-108.8563651
-3.1496,-117.5513655
-3.2639,-119.7223592
-3.2766,-119.7182586
-3.2639,-117.2119189
-3.1877,-113.7321727
-2.9464,-102.9032263
-2.7051,-93.0947142
-2.4638,-83.37761606
-2.1971,-74.97164982
-1.9431,-65.63599597
-1.7018,-56.84933707
-1.4478,-48.99675991
-1.1811,-40.50204869
-0.9525,-32.4495782
-0.7239,-23.65512106
-0.4953,-15.69716839
-0.2794,-8.199338061
-0.127,-4.470789779
0.1651,8.187157693
0.381,17.08179567
0.6096,25.50264502
0.8255,33.92931482
1.1049,43.16561064
1.3716,51.84321773
1.6002,60.1753955
1.8669,69.50918585
2.1463,77.99330356
2.413,86.58199089
2.667,95.63990726
2.9337,104.5987556
3.175,112.8282628
3.4671,121.6825637
3.7465,126.1802805
4.0259,131.7008955
4.318,137.3913961
4.6101,143.5562404
4.8895,149.2676043
5.1943,153.6491256
5.4991,158.2248159
5.7912,163.6500321
6.096,168.5920674
6.4135,173.8042928
6.7183,178.5772119
6.7691,176.5942184
6.7818,175.5810824
6.6802,170.7070405
6.4262,162.0215399
6.1722,152.4031852
5.8928,144.1063517
5.715,135.541712
5.6515,133.538309
5.4102,123.9020219
5.1562,115.0434202
4.8895,110.3575965
4.6228,101.1156515
4.3434,93.09564373
4.2799,94.06176081
3.81,78.70797678
3.5306,72.54841166
3.2512,65.34972818
2.9718,57.60191633
2.6924,50.5011846
2.413,42.57751549
2.1463,36.58639765
1.8542,27.08402881
1.6002,20.62520609
1.3208,12.7851184
1.0922,7.056408837
0.8636,-0.065526401
0.6604,-5.806912621
0.4572,-10.71566507
0.2286,-17.0007551
-0.0254,-24.85282436
-0.2921,-33.16487274
-0.5588,-39.70767094
-0.8001,-46.82698032
-1.0922,-52.89317018
-1.3081,-62.80846226
-1.5748,-71.29647154
-1.8415,-78.58845467
-2.1336,-85.49552001
-2.3622,-93.91666112
-2.6289,-103.0616996
-2.8829,-110.5468421
-3.1369,-118.3058083
-3.3909,-126.151852
-3.683,-133.249257
-3.937,-139.7972757
-4.2164,-145.051103
-4.4831,-151.3117643
-4.7625,-156.2687654
-5.0165,-163.2046906
-5.2959,-167.423976
-5.5753,-172.3846152
-5.8547,-178.0819205
-6.1595,-182.5703865
-6.4262,-187.8182363
-6.7183,-192.0333811
-6.9723,-194.5934466
-6.9977,-191.8852438
-7.0104,-192.8020426
-7.0104,-191.3201178
-6.7945,-181.985727
-6.5659,-173.7170373
-6.3246,-164.5637309
-6.0579,-157.0696356
-5.842,-148.0144233
-5.5372,-132.3847431
-5.1435,-122.6671913
-4.9403,-116.256974
-4.7117,-108.3097273
-4.4577,-101.4867909
-4.191,-93.62717335
-3.937,-87.08060901
-3.6576,-80.26719912
-3.3909,-72.87873193
-3.0353,-65.72941126
-2.8194,-58.50937979
-2.54,-50.85634416
-2.2606,-44.21921849
-1.9812,-37.02929971
-1.7145,-31.04335075
-1.4351,-23.9377579
-1.1811,-15.99706999
-0.9398,-10.08676633
-0.7239,-5.279783357
-0.5334,1.032049936
-0.3048,6.575749277
-0.0508,11.91898156
0.1905,18.85173211
0.4572,25.48865319
0.7239,32.7767621
0.9906,38.7635543
1.2954,45.75429224
1.5875,53.21457322
1.8796,59.64732158
2.1463,65.83140578
2.4638,73.1744462
2.7305,79.71919151
3.0353,85.60679201
3.3147,93.33934449
3.5814,100.077814
3.8862,106.6908284
4.1656,113.6984607
4.4323,120.7056926
4.7117,126.5850964
4.9911,131.6528669
5.2578,139.4102498
5.5499,145.0927672
5.8166,151.6356223
6.096,158.1922825
6.3881,164.164768
6.6802,169.3879609
6.7564,170.8457091
6.7437,170.938902
6.731,170.2137638
6.7564,167.9630753
6.5405,161.3905064
6.2611,151.9762563
6.0325,142.1690741
5.7404,135.0789763
5.4864,127.6001004
5.4356,125.4939867
4.9403,112.9316761
4.6736,106.7624554
4.4069,98.35132119
4.1275,91.89783413
3.8354,84.73152401
3.5687,77.62414327
3.2766,70.99820885
3.0099,64.17487658
2.7178,57.55059218
2.4257,49.62637914
2.1717,43.5324431
1.8542,36.27537552
1.5748,29.08882305
1.3081,21.7051636
1.0287,15.07352126
0.7747,9.542717444
0.5461,2.513694266
0.3175,-2.846432689
0.127,-8.129201431
-0.1016,-13.67671228
-0.3429,-20.13863802
-0.6223,-26.0289177
-0.8509,-34.44953578
-1.1557,-40.88519637
-1.4097,-47.80905503
-1.7018,-54.62350119
-1.9685,-61.16621844
-2.2606,-67.51769319
-2.54,-75.07324406
-2.8321,-82.26156486
-3.0861,-88.25401962
-3.3782,-94.89215354
-3.6449,-102.4509778
-3.9243,-108.8067488
-4.1783,-116.0130597
-4.4704,-121.8806954
-4.7117,-129.9423673
-4.9784,-135.1835015
-5.2324,-141.8372506
-5.4864,-148.7501066
-5.7404,-156.1607801
-5.9944,-161.304385
-6.2484,-169.543192
-6.5278,-175.3361319
-6.8199,-182.1405045
-6.9088,-183.3892246
-6.9469,-184.6682544
-6.9342,-183.388344
-6.9342,-182.8209853
-6.7056,-172.1729365
-6.4516,-160.2464715
-6.2103,-154.4127925
-5.969,-146.8333808
-5.715,-138.9825471
-5.4864,-131.2960262
-5.2451,-125.383324
-4.9657,-118.4676439
-4.699,-110.8110369
-4.4577,-104.0628274
-4.1402,-98.56554392
-3.6703,-83.12711952
-3.3909,-76.67852471
-3.1242,-67.90480359
-2.8448,-61.82244707
-2.54,-55.39878494
-2.2733,-48.01030886
-1.9939,-41.2883489
-1.7272,-34.28067266
-1.4351,-28.20909554
-1.1811,-21.1023499
-0.9271,-14.64171171
-0.6731,-8.551278965
-0.4953,-2.519288732
-0.2921,5.825477375
-0.0508,8.022926639
0.1905,14.85845217
0.4699,21.02482419
0.7239,27.02251722
0.9779,35.52484166
1.2573,42.6203249
1.5748,48.76623264
1.8288,55.79692514
2.1463,62.39457791
2.4257,69.02698345
2.7178,76.02756193
3.0099,81.44754783
3.302,88.53747659
3.5814,97.11319056
3.8608,102.3512515
4.1402,108.8023725
4.4196,114.3990709
4.6863,121.3256252
4.9784,127.7571727
5.2578,134.8562945
5.5372,140.6544068
5.8039,148.2218992
6.0833,154.7531553
6.3754,159.8889103
6.6421,167.7407981
6.8453,171.9886854
6.858,170.1299106
6.858,169.9310362
6.858,169.8420862
6.8453,168.3710044
6.5913,158.9494382
6.3373,150.9097725
6.0452,141.492596
5.8039,134.4741074
5.5245,126.4563902
5.2705,118.1324936
4.9657,113.7590178
4.7117,106.4584021
4.445,98.33713811
4.1783,92.34782774
3.8989,85.06926272
3.6068,78.5416892
3.3274,70.79091087
3.0353,64.26045983
2.7305,57.92277233
2.4638,50.63007315
2.3876,49.8398369
1.8796,36.45067373
1.6129,30.18217065
1.3208,23.09396664
1.0414,15.90517263
0.8001,9.156854568
0.5588,2.784456999
0.3175,-2.009703166
0.1397,-7.48610316
-0.0762,-13.69005522
-0.3302,-20.23848662
-0.6096,-26.31638497
-0.8636,-33.42501725
-1.1303,-39.50410753
-1.4097,-46.51251539
-1.6764,-54.53939452
-1.9558,-59.96406364
-2.2479,-67.06084154
-2.5527,-74.13934912
-2.8321,-79.84782211
-3.0988,-86.85654841
-3.3782,-94.13071485
-3.6576,-100.1191357
-3.937,-106.9356944
-4.2164,-112.7377606
-4.4577,-118.7362951
-4.7117,-126.7763477
-4.9911,-132.0199147
-5.2451,-139.3124093
-5.4864,-146.3395438
-5.7531,-152.3334529
-6.0198,-160.7384584
-6.2484,-166.3718487
-6.5278,-172.549533
-6.7183,-179.6913463
-6.9596,-182.1734649
-6.9342,-181.8051274
-6.9596,-181.147102
-6.8961,-177.6597905
-6.6548,-168.4070914
-6.4008,-161.0128514
-6.1849,-152.6788946
-5.9055,-144.8269668
-5.6769,-138.0826755
-5.4229,-129.4871657
-5.1689,-122.7495145
-4.9022,-115.6384201
-4.6609,-108.7182391
-4.3942,-101.9791425
-4.1402,-95.14093334
-3.8608,-88.32360521
-3.5814,-81.964672
-3.3274,-74.2000397
-3.0353,-68.41824078
-2.7559,-61.68859511
-2.4638,-54.69383396
-2.2098,-47.30550908
-1.905,-41.14974924
-1.6383,-34.41556133
-1.3716,-27.40899474
-1.1049,-21.14089238
-1.0414,-18.85170186
-0.6096,-7.750025371
-0.4064,-2.748829188
-0.2032,3.365674756
0.0127,4.645500476
0.4318,19.09618049
0.9652,33.30131537
1.524,48.32845187
2.0955,61.12234385
2.7051,73.79826145
3.2893,88.53722308
3.8354,101.9892517
4.4196,113.8406428
4.9784,126.7258064
5.5245,140.0982069
6.0706,153.0932326
6.6294,166.0855854
7.0358,174.5075938
7.0485,172.3573565
7.493,184.1110983
8.1153,194.5579378
8.6995,204.0908872
9.3345,212.6744777
9.9822,219.1242333
10.6045,223.9051357
11.2522,231.896675
11.7475,235.8595309
12.4333,242.2615337
13.1191,247.5909329
13.6144,249.6705128
13.6271,247.4083586
13.1572,230.6895924
12.5857,215.1779621
12.0396,202.6335171
11.4935,189.326179
11.2395,185.1806553
11.2268,185.6004326
11.2522,182.7153527
10.7823,168.6468072
10.2743,156.6426089
9.7409,145.2188627
9.1694,132.2621389
8.5725,120.4997911
7.9502,108.8425556
7.3787,97.1694292
6.7818,85.60335854
6.1722,74.40228087
5.5753,66.08622974
4.9784,52.00516454
4.3942,40.53011687
3.7973,29.42269465
3.2004,17.66630391
2.6416,6.810072931
2.1336,-3.501922318
1.6637,-12.17407015
1.1049,-23.30207228
0.5207,-35.06968451
-0.0762,-44.78690318
-0.635,-56.38356818
-1.2192,-68.05309214
-1.8034,-79.25971139
-2.3876,-91.86406427
-2.9845,-103.4404798
-3.2893,-111.3608502
-4.1148,-127.821279
-4.6355,-140.4410869
-5.1562,-151.421324
-5.6769,-164.5153555
-6.223,-176.1196257
-6.7564,-188.746096
-7.3406,-199.2927196
-7.9375,-208.904114
-8.5598,-216.8716768
-8.7884,-216.1151793
-8.8519,-215.3240981
-9.4234,-225.4125624
-10.033,-232.0839014
-10.6172,-240.1293044
-11.2268,-246.7931004
-11.8491,-252.3057988
-12.4841,-258.0114788
-13.1318,-264.9438104
